id,usuario,nombre,apellido,email,password,tema,status,creacion,id,id_alumno,id_aplicacion,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca,sexo,edad,estado_civil
3012,est1_151208111583,Estudiante1,Hibrido1,est1@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1286,3012,3,ICD,77.4,3,8,3,0,0,0,M,26,Soltero
3013,est2_151208120161,Estudiante2,Hibrido2,est2@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1287,3013,3,IGE,79.6,6,7,0,0,0,0,M,23,Soltero
3014,est3_151208136329,Estudiante3,Hibrido3,est3@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1288,3014,3,ISC,91.3,6,8,3,0,0,0,M,26,Casado
3015,est4_151208137848,Estudiante4,Hibrido4,est4@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1289,3015,3,ICD,77.9,3,7,1,0,0,0,M,20,Soltero
3016,est5_151208147224,Estudiante5,Hibrido5,est5@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1290,3016,3,ICD,74.2,7,8,2,0,1,0,M,20,Soltero
3017,est6_151208149989,Estudiante6,Hibrido6,est6@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1291,3017,3,IGE,83.9,3,8,0,0,0,0,M,23,Soltero
3018,est7_151208149989,Estudiante7,Hibrido7,est7@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1292,3018,3,ISC,93.4,8,4,2,0,1,0,F,26,Soltero
3019,est8_151208149989,Estudiante8,Hibrido8,est8@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1293,3019,3,ISC,87.4,10,5,3,0,0,0,F,24,Soltero
3020,est9_151208157232,Estudiante9,Hibrido9,est9@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1294,3020,3,ICD,84.3,4,8,2,0,0,0,F,20,Soltero
3021,est10_151208159601,Estudiante10,Hibrido10,est10@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1295,3021,3,IINF,72.4,1,8,3,0,0,0,F,20,Soltero
3022,est11_151208159601,Estudiante11,Hibrido11,est11@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1296,3022,3,ICD,85.4,4,6,3,0,1,0,M,19,Soltero
3023,est12_151208159601,Estudiante12,Hibrido12,est12@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1297,3023,3,ICD,94.8,7,5,1,0,0,1,F,26,Soltero
3024,est13_151208166378,Estudiante13,Hibrido13,est13@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1298,3024,3,ICD,73.5,4,6,3,0,0,0,M,20,Soltero
3025,est14_151208167903,Estudiante14,Hibrido14,est14@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1299,3025,3,ICD,83.0,6,5,1,0,0,0,F,22,Casado
3026,est15_151208167903,Estudiante15,Hibrido15,est15@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1300,3026,3,IGE,91.9,9,6,1,0,0,0,F,26,Soltero
3027,est16_151208174483,Estudiante16,Hibrido16,est16@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1301,3027,3,ISC,88.5,1,8,1,0,0,0,F,25,Casado
3028,est17_151208177947,Estudiante17,Hibrido17,est17@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1302,3028,3,IGE,87.4,5,8,0,0,1,0,F,19,Soltero
3029,est18_151208177947,Estudiante18,Hibrido18,est18@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1303,3029,3,IGE,87.6,7,4,0,0,0,0,F,20,Casado
3030,est19_151208182826,Estudiante19,Hibrido19,est19@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1304,3030,3,IGE,79.0,1,6,3,0,0,0,M,19,Casado
3031,est20_151208182826,Estudiante20,Hibrido20,est20@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1305,3031,3,ICD,77.3,4,7,1,0,0,0,M,25,Soltero
3032,est21_151208187047,Estudiante21,Hibrido21,est21@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1306,3032,3,IINF,90.2,6,4,0,0,0,0,F,23,Soltero
3033,est22_151208188622,Estudiante22,Hibrido22,est22@hibrido.com,$2y$10$abc123,light,1,2026-02-03 15:12:08,1307,3033,3,ISC,90.3,2,6,1,0,1,0,M,23,Soltero
